CompanyName	Value(1000s)	Shares	OrderType
BEBE STORES INC	6	1139	Market
BECTON DICKINSON & CO	718661	4341054	Market
BED BATH & BEYOND INC	114975	2829104	Market
BEIGENE LTD	4398	144870	Market
BEL FUSE INC	6	246	Market
BEL FUSE INC	22379	724225	Market
BELDEN INC	185858	2485730	Market
BELLICUM PHARMACEUTICALS INC	14403	1057512	Market
BELMOND LTD	87828	6578882	Market
BEMIS INC	179438	3752364	Market
BENCHMARK ELECTRS INC	121493	3983392	Market
BENEFICIAL BANCORP INC	39599	2152121	Market
BENEFITFOCUS INC	11327	381366	Market
BERKLEY W R CORP	320628	4820749	Market
BERKSHIRE HATHAWAY INC DEL	4261429	26146946	Market
BERKSHIRE HILLS BANCORP INC	37597	1020279	Market
BERRY PLASTICS GROUP INC	65538	1344917	Market
BEST BUY INC	223628	5240862	Market
BG STAFFING INC	288	18449	Market
BGC PARTNERS INC	72797	7116045	Market
BHP BILLITON LTD	6482	181163	Market
BHP BILLITON PLC	3751	119229	Market
BIG 5 SPORTING GOODS CORP	25972	1496923	Market
BIG LOTS INC	132977	2648423	Market
BIGLARI HLDGS INC	39821	84152	Market
BIO PATH HOLDINGS INC	3831	2837783	Market
BIO RAD LABS INC	159202	873392	Market
BIO TECHNE CORP	202262	1966951	Market
BIOAMBER INC	27	4895	Market
BIOANALYTICAL SYS INC	1	1759	Market
BIOBLAST PHARMA LTD	17	16786	Market
BIOCEPT INC	24	30436	Market
BIOCRYST PHARMACEUTICALS	21533	3401744	Market
BIODELIVERY SCIENCES INTL IN	256	146064	Market
BIOGEN INC	1502535	5298451	Market
BIOLASE INC	146	104274	Market
BIOLIFE SOLUTIONS INC	4	2526	Market
BIOMARIN PHARMACEUTICAL INC	355272	4288652	Market
BIOMARIN PHARMACEUTICAL INC	102	87000	Market
BIOPHARMX CORP	1	2643	Market
BIOPTIX INC	8	2125	Market
BIOSCRIP INC	3165	3043453	Market
BIOSPECIFICS TECHNOLOGIES CO	9818	176258	Market
BIOSTAGE INC	4	4230	Market
BIOTELEMETRY INC	51688	2312674	Market
BIOTIME INC	8112	2247046	Market
BITAUTO HLDGS LTD	2553	134779	Market
BJS RESTAURANTS INC	65253	1660392	Market
BLACK BOX CORP DEL	19226	1260741	Market
BLACK DIAMOND INC	323	60344	Market
BLACK HILLS CORP	351695	5733540	Market
BLACK KNIGHT FINL SVCS INC	8597	227422	Market
BLACKBAUD INC	240419	3756545	Market
BLACKBERRY LTD	688	99818	Market
BLACKHAWK NETWORK HLDGS INC	63175	1676836	Market
BLACKLINE INC	8126	294111	Market
BLACKROCK INC	686790	1804778	Market
BLACKSTONE MTG TR INC	68612	2281758	Market
BLOCK H & R INC	83849	3647187	Market
BLOOMIN BRANDS INC	57212	3173145	Market
BLUCORA INC	47604	3227395	Market
BLUE BIRD CORP	2821	182561	Market
BLUE BUFFALO PET PRODS INC	14333	596223	Market
BLUE CAP REINS HLDGS LTD	3725	201890	Market
BLUE HILLS BANCORP INC	15188	810019	Market
